    15	          4	         12	         15		PAGE FAULT
    20	         12	         15	         20		PAGE FAULT
    13	         15	         20	         13		PAGE FAULT
    1	         20	         13	          1		PAGE FAULT
    27	         13	          1	         27		PAGE FAULT
    19	          1	         27	         19		PAGE FAULT
    20	         27	         19	         20		PAGE FAULT
    23	         19	         20	         23		PAGE FAULT
    17	         20	         23	         17		PAGE FAULT
    7	         23	         17	          7		PAGE FAULT
    25	         17	          7	         25		PAGE FAULT
    30	          7	         25	         30		PAGE FAULT
    16	         25	         30	         16		PAGE FAULT
    11	         30	         16	         11		PAGE FAULT
    15	         16	         11	         15		PAGE FAULT
    29	         11	         15	         29		PAGE FAULT
    18	         15	         29	         18		PAGE FAULT
    22	         29	         18	         22		PAGE FAULT
    18	         29	         22	         18		          
    3	         22	         18	          3		PAGE FAULT
    28	         18	          3	         28		PAGE FAULT
    13	          3	         28	         13		PAGE FAULT
    23	         28	         13	         23		PAGE FAULT
    27	         13	         23	         27		PAGE FAULT
    2	         23	         27	          2		PAGE FAULT
    21	         27	          2	         21		PAGE FAULT
    27	          2	         21	         27		          
    2	         21	         27	          2		          
    16	         27	          2	         16		PAGE FAULT
    30	          2	         16	         30		PAGE FAULT
    5	         16	         30	          5		PAGE FAULT
    30	         16	          5	         30		          
    11	          5	         30	         11		PAGE FAULT
    10	         30	         11	         10		PAGE FAULT
    22	         11	         10	         22		PAGE FAULT
    8	         10	         22	          8		PAGE FAULT
    28	         22	          8	         28		PAGE FAULT
    12	          8	         28	         12		PAGE FAULT
    22	         28	         12	         22		PAGE FAULT
    6	         12	         22	          6		PAGE FAULT
    10	         22	          6	         10		PAGE FAULT
    8	          6	         10	          8		PAGE FAULT
    28	         10	          8	         28		PAGE FAULT
    17	          8	         28	         17		PAGE FAULT
    18	         28	         17	         18		PAGE FAULT
    4	         17	         18	          4		PAGE FAULT
    7	         18	          4	          7		PAGE FAULT
    6	          4	          7	          6		PAGE FAULT
    17	          7	          6	         17		PAGE FAULT
    24	          6	         17	         24		PAGE FAULT
    30	         17	         24	         30		PAGE FAULT
    15	         24	         30	         15		PAGE FAULT
    29	         30	         15	         29		PAGE FAULT
    22	         15	         29	         22		PAGE FAULT
    3	         29	         22	          3		PAGE FAULT
    30	         22	          3	         30		PAGE FAULT
    4	          3	         30	          4		PAGE FAULT
    30	          3	          4	         30		          
    1	          4	         30	          1		PAGE FAULT
    19	         30	          1	         19		PAGE FAULT
    29	          1	         19	         29		PAGE FAULT
    6	         19	         29	          6		PAGE FAULT
    11	         29	          6	         11		PAGE FAULT
    10	          6	         11	         10		PAGE FAULT
    7	         11	         10	          7		PAGE FAULT
    24	         10	          7	         24		PAGE FAULT
    9	          7	         24	          9		PAGE FAULT
    26	         24	          9	         26		PAGE FAULT
    27	          9	         26	         27		PAGE FAULT
    22	         26	         27	         22		PAGE FAULT
    2	         27	         22	          2		PAGE FAULT
    6	         22	          2	          6		PAGE FAULT
    30	          2	          6	         30		PAGE FAULT
    29	          6	         30	         29		PAGE FAULT
    15	         30	         29	         15		PAGE FAULT
    9	         29	         15	          9		PAGE FAULT
    2	         15	          9	          2		PAGE FAULT
    21	          9	          2	         21		PAGE FAULT
    14	          2	         21	         14		PAGE FAULT
    11	         21	         14	         11		PAGE FAULT
    15	         14	         11	         15		PAGE FAULT
    5	         11	         15	          5		PAGE FAULT
    25	         15	          5	         25		PAGE FAULT
    5	         15	         25	          5		          
    18	         25	          5	         18		PAGE FAULT
    27	          5	         18	         27		PAGE FAULT
    4	         18	         27	          4		PAGE FAULT
    22	         27	          4	         22		PAGE FAULT
    18	          4	         22	         18		PAGE FAULT
    26	         22	         18	         26		PAGE FAULT
    10	         18	         26	         10		PAGE FAULT
    17	         26	         10	         17		PAGE FAULT
    23	         10	         17	         23		PAGE FAULT
    12	         17	         23	         12		PAGE FAULT
    18	         23	         12	         18		PAGE FAULT
    29	         12	         18	         29		PAGE FAULT
    6	         18	         29	          6		PAGE FAULT
    18	         29	          6	         18		          
    25	          6	         18	         25		PAGE FAULT
    2	         18	         25	          2		PAGE FAULT
    9	         25	          2	          9		PAGE FAULT
    26	          2	          9	         26		PAGE FAULT
    30	          9	         26	         30		PAGE FAULT
    8	         26	         30	          8		PAGE FAULT
    16	         30	          8	         16		PAGE FAULT
    14	          8	         16	         14		PAGE FAULT
    9	         16	         14	          9		PAGE FAULT
    9	         16	         14	          9		          
    4	         14	          9	          4		PAGE FAULT
    22	          9	          4	         22		PAGE FAULT
    19	          4	         22	         19		PAGE FAULT
    10	         22	         19	         10		PAGE FAULT
    27	         19	         10	         27		PAGE FAULT
    5	         10	         27	          5		PAGE FAULT
    14	         27	          5	         14		PAGE FAULT
    14	         27	          5	         14		          
    24	          5	         14	         24		PAGE FAULT
    9	         14	         24	          9		PAGE FAULT
    27	         24	          9	         27		PAGE FAULT
    11	          9	         27	         11		PAGE FAULT
    5	         27	         11	          5		PAGE FAULT
    29	         11	          5	         29		PAGE FAULT
    19	          5	         29	         19		PAGE FAULT
    19	          5	         29	         19		          
    10	         29	         19	         10		PAGE FAULT
    28	         19	         10	         28		PAGE FAULT
    18	         10	         28	         18		PAGE FAULT
    7	         28	         18	          7		PAGE FAULT
    15	         18	          7	         15		PAGE FAULT
    4	          7	         15	          4		PAGE FAULT
    1	         15	          4	          1		PAGE FAULT
    24	          4	          1	         24		PAGE FAULT
    21	          1	         24	         21		PAGE FAULT
    30	         24	         21	         30		PAGE FAULT
    23	         21	         30	         23		PAGE FAULT
    6	         30	         23	          6		PAGE FAULT
    5	         23	          6	          5		PAGE FAULT
    1	          6	          5	          1		PAGE FAULT
    6	          5	          1	          6		          
    30	          1	          6	         30		PAGE FAULT
    15	          6	         30	         15		PAGE FAULT
    17	         30	         15	         17		PAGE FAULT
    10	         15	         17	         10		PAGE FAULT
    3	         17	         10	          3		PAGE FAULT
    13	         10	          3	         13		PAGE FAULT
    15	          3	         13	         15		PAGE FAULT
    8	         13	         15	          8		PAGE FAULT
    28	         15	          8	         28		PAGE FAULT
    16	          8	         28	         16		PAGE FAULT
    5	         28	         16	          5		PAGE FAULT
    9	         16	          5	          9		PAGE FAULT
    12	          5	          9	         12		PAGE FAULT
    3	          9	         12	          3		PAGE FAULT
    19	         12	          3	         19		PAGE FAULT
    30	          3	         19	         30		PAGE FAULT
    4	         19	         30	          4		PAGE FAULT
    17	         30	          4	         17		PAGE FAULT
    9	          4	         17	          9		PAGE FAULT
    11	         17	          9	         11		PAGE FAULT
    23	          9	         11	         23		PAGE FAULT
    12	         11	         23	         12		PAGE FAULT
    11	         23	         12	         11		          
    16	         12	         11	         16		PAGE FAULT
    2	         11	         16	          2		PAGE FAULT
    2	         11	         16	          2		          
    1	         16	          2	          1		PAGE FAULT
    29	          2	          1	         29		PAGE FAULT
    6	          1	         29	          6		PAGE FAULT
    1	         29	          6	          1		          
    27	          6	          1	         27		PAGE FAULT
    5	          1	         27	          5		PAGE FAULT
    7	         27	          5	          7		PAGE FAULT
    13	          5	          7	         13		PAGE FAULT
    6	          7	         13	          6		PAGE FAULT
    9	         13	          6	          9		PAGE FAULT
    17	          6	          9	         17		PAGE FAULT
    13	          9	         17	         13		PAGE FAULT
    9	         17	         13	          9		          
    15	         13	          9	         15		PAGE FAULT
    28	          9	         15	         28		PAGE FAULT
    13	         15	         28	         13		PAGE FAULT
    15	         28	         13	         15		          
    1	         13	         15	          1		PAGE FAULT
    7	         15	          1	          7		PAGE FAULT
    3	          1	          7	          3		PAGE FAULT
    30	          7	          3	         30		PAGE FAULT
    10	          3	         30	         10		PAGE FAULT
    11	         30	         10	         11		PAGE FAULT
    9	         10	         11	          9		PAGE FAULT
    12	         11	          9	         12		PAGE FAULT
    4	          9	         12	          4		PAGE FAULT
    12	          9	          4	         12		          
    22	          4	         12	         22		PAGE FAULT
    11	         12	         22	         11		PAGE FAULT
    14	         22	         11	         14		PAGE FAULT
    15	         11	         14	         15		PAGE FAULT
    11	         14	         15	         11		          
    4	         15	         11	          4		PAGE FAULT
    20	         11	          4	         20		PAGE FAULT
    12	          4	         20	         12		PAGE FAULT
    30	         20	         12	         30		PAGE FAULT
    17	         12	         30	         17		PAGE FAULT
    10	         30	         17	         10		PAGE FAULT
    4	         17	         10	          4		PAGE FAULT
    14	         10	          4	         14		PAGE FAULT
    19	          4	         14	         19		PAGE FAULT
    21	         14	         19	         21		PAGE FAULT
    26	         19	         21	         26		PAGE FAULT
    27	         21	         26	         27		PAGE FAULT
    27	         21	         26	         27		          
    15	         26	         27	         15		PAGE FAULT
    1	         27	         15	          1		PAGE FAULT
    11	         15	          1	         11		PAGE FAULT
    15	          1	         11	         15		          
    7	         11	         15	          7		PAGE FAULT
    13	         15	          7	         13		PAGE FAULT
    7	         15	         13	          7		          
    8	         13	          7	          8		PAGE FAULT
    16	          7	          8	         16		PAGE FAULT
    7	          8	         16	          7		          
    20	         16	          7	         20		PAGE FAULT
    19	          7	         20	         19		PAGE FAULT
    18	         20	         19	         18		PAGE FAULT
    3	         19	         18	          3		PAGE FAULT
    29	         18	          3	         29		PAGE FAULT
    23	          3	         29	         23		PAGE FAULT
    10	         29	         23	         10		PAGE FAULT
    10	         29	         23	         10		          
    27	         23	         10	         27		PAGE FAULT
    21	         10	         27	         21		PAGE FAULT
    13	         27	         21	         13		PAGE FAULT
    18	         21	         13	         18		PAGE FAULT
    7	         13	         18	          7		PAGE FAULT
    22	         18	          7	         22		PAGE FAULT
    14	          7	         22	         14		PAGE FAULT
    13	         22	         14	         13		PAGE FAULT
    2	         14	         13	          2		PAGE FAULT
    26	         13	          2	         26		PAGE FAULT
    30	          2	         26	         30		PAGE FAULT
    20	         26	         30	         20		PAGE FAULT
    22	         30	         20	         22		PAGE FAULT
    15	         20	         22	         15		PAGE FAULT
    20	         22	         15	         20		          
    2	         15	         20	          2		PAGE FAULT
    21	         20	          2	         21		PAGE FAULT
    18	          2	         21	         18		PAGE FAULT
    6	         21	         18	          6		PAGE FAULT
    19	         18	          6	         19		PAGE FAULT
    18	          6	         19	         18		          
    21	         19	         18	         21		PAGE FAULT
    25	         18	         21	         25		PAGE FAULT
    29	         21	         25	         29		PAGE FAULT
    1	         25	         29	          1		PAGE FAULT
    5	         29	          1	          5		PAGE FAULT
    23	          1	          5	         23		PAGE FAULT
    30	          5	         23	         30		PAGE FAULT
    27	         23	         30	         27		PAGE FAULT
    2	         30	         27	          2		PAGE FAULT
    1	         27	          2	          1		PAGE FAULT
    15	          2	          1	         15		PAGE FAULT
    23	          1	         15	         23		PAGE FAULT
    13	         15	         23	         13		PAGE FAULT
    3	         23	         13	          3		PAGE FAULT
    21	         13	          3	         21		PAGE FAULT
    26	          3	         21	         26		PAGE FAULT
    16	         21	         26	         16		PAGE FAULT
    3	         26	         16	          3		PAGE FAULT
    20	         16	          3	         20		PAGE FAULT
    11	          3	         20	         11		PAGE FAULT
    3	         20	         11	          3		          
    9	         11	          3	          9		PAGE FAULT
    24	          3	          9	         24		PAGE FAULT
    9	          3	         24	          9		          
    21	         24	          9	         21		PAGE FAULT
    25	          9	         21	         25		PAGE FAULT
    21	          9	         25	         21		          
    30	         25	         21	         30		PAGE FAULT
    22	         21	         30	         22		PAGE FAULT
    10	         30	         22	         10		PAGE FAULT
    17	         22	         10	         17		PAGE FAULT
    13	         10	         17	         13		PAGE FAULT
    26	         17	         13	         26		PAGE FAULT
    15	         13	         26	         15		PAGE FAULT
    5	         26	         15	          5		PAGE FAULT
    30	         15	          5	         30		PAGE FAULT
    30	         15	          5	         30		          
    4	          5	         30	          4		PAGE FAULT
    27	         30	          4	         27		PAGE FAULT
    1	          4	         27	          1		PAGE FAULT
    26	         27	          1	         26		PAGE FAULT
    11	          1	         26	         11		PAGE FAULT
    23	         26	         11	         23		PAGE FAULT
    30	         11	         23	         30		PAGE FAULT
    5	         23	         30	          5		PAGE FAULT
    14	         30	          5	         14		PAGE FAULT
    26	          5	         14	         26		PAGE FAULT
    12	         14	         26	         12		PAGE FAULT
    8	         26	         12	          8		PAGE FAULT
    15	         12	          8	         15		PAGE FAULT
    14	          8	         15	         14		PAGE FAULT
    2	         15	         14	          2		PAGE FAULT
    15	         14	          2	         15		          
    7	          2	         15	          7		PAGE FAULT
    10	         15	          7	         10		PAGE FAULT
    5	          7	         10	          5		PAGE FAULT
    23	         10	          5	         23		PAGE FAULT
    23	         10	          5	         23		          
    27	          5	         23	         27		PAGE FAULT
    15	         23	         27	         15		PAGE FAULT
    2	         27	         15	          2		PAGE FAULT
    13	         15	          2	         13		PAGE FAULT
    19	          2	         13	         19		PAGE FAULT
    19	          2	         13	         19		          
    20	         13	         19	         20		PAGE FAULT
    23	         19	         20	         23		PAGE FAULT
    19	         20	         23	         19		          
    19	         20	         23	         19		          
    19	         20	         23	         19		          
    7	         23	         19	          7		PAGE FAULT
    19	         23	          7	         19		          
    14	          7	         19	         14		PAGE FAULT
    9	         19	         14	          9		PAGE FAULT
    4	         14	          9	          4		PAGE FAULT
    14	          9	          4	         14		          
    14	          9	          4	         14		          
    9	          4	         14	          9		          
    1	         14	          9	          1		PAGE FAULT
    25	          9	          1	         25		PAGE FAULT
    8	          1	         25	          8		PAGE FAULT
    7	         25	          8	          7		PAGE FAULT
    9	          8	          7	          9		PAGE FAULT
    10	          7	          9	         10		PAGE FAULT
    21	          9	         10	         21		PAGE FAULT
    7	         10	         21	          7		PAGE FAULT
    19	         21	          7	         19		PAGE FAULT
    18	          7	         19	         18		PAGE FAULT
    30	         19	         18	         30		PAGE FAULT
    11	         18	         30	         11		PAGE FAULT
    14	         30	         11	         14		PAGE FAULT
    14	         30	         11	         14		          
    4	         11	         14	          4		PAGE FAULT
    18	         14	          4	         18		PAGE FAULT
    24	          4	         18	         24		PAGE FAULT
    23	         18	         24	         23		PAGE FAULT
    7	         24	         23	          7		PAGE FAULT
    16	         23	          7	         16		PAGE FAULT
    3	          7	         16	          3		PAGE FAULT
    17	         16	          3	         17		PAGE FAULT
    26	          3	         17	         26		PAGE FAULT
    9	         17	         26	          9		PAGE FAULT
    28	         26	          9	         28		PAGE FAULT
    10	          9	         28	         10		PAGE FAULT
    17	         28	         10	         17		PAGE FAULT
    1	         10	         17	          1		PAGE FAULT
    15	         17	          1	         15		PAGE FAULT
    22	          1	         15	         22		PAGE FAULT
    1	         15	         22	          1		          
    15	         22	          1	         15		          
    9	          1	         15	          9		PAGE FAULT
    8	         15	          9	          8		PAGE FAULT
    21	          9	          8	         21		PAGE FAULT
    9	          8	         21	          9		          
    17	         21	          9	         17		PAGE FAULT
    3	          9	         17	          3		PAGE FAULT
    15	         17	          3	         15		PAGE FAULT
    28	          3	         15	         28		PAGE FAULT
    20	         15	         28	         20		PAGE FAULT
    14	         28	         20	         14		PAGE FAULT
    30	         20	         14	         30		PAGE FAULT
    3	         14	         30	          3		PAGE FAULT
    19	         30	          3	         19		PAGE FAULT
    4	          3	         19	          4		PAGE FAULT
    21	         19	          4	         21		PAGE FAULT
    12	          4	         21	         12		PAGE FAULT
    18	         21	         12	         18		PAGE FAULT
    19	         12	         18	         19		PAGE FAULT
    20	         18	         19	         20		PAGE FAULT
    12	         19	         20	         12		PAGE FAULT
    6	         20	         12	          6		PAGE FAULT
    15	         12	          6	         15		PAGE FAULT
    20	          6	         15	         20		PAGE FAULT
    3	         15	         20	          3		PAGE FAULT
    16	         20	          3	         16		PAGE FAULT
    28	          3	         16	         28		PAGE FAULT
    25	         16	         28	         25		PAGE FAULT
    30	         28	         25	         30		PAGE FAULT
    20	         25	         30	         20		PAGE FAULT
    25	         30	         20	         25		          
    6	         20	         25	          6		PAGE FAULT
    20	         25	          6	         20		          
    24	          6	         20	         24		PAGE FAULT
    26	         20	         24	         26		PAGE FAULT
    28	         24	         26	         28		PAGE FAULT
    11	         26	         28	         11		PAGE FAULT
    29	         28	         11	         29		PAGE FAULT
    12	         11	         29	         12		PAGE FAULT
    30	         29	         12	         30		PAGE FAULT
    10	         12	         30	         10		PAGE FAULT
    18	         30	         10	         18		PAGE FAULT
    29	         10	         18	         29		PAGE FAULT
    13	         18	         29	         13		PAGE FAULT
    6	         29	         13	          6		PAGE FAULT
    24	         13	          6	         24		PAGE FAULT
    25	          6	         24	         25		PAGE FAULT
    10	         24	         25	         10		PAGE FAULT
    11	         25	         10	         11		PAGE FAULT
    13	         10	         11	         13		PAGE FAULT
    21	         11	         13	         21		PAGE FAULT
    22	         13	         21	         22		PAGE FAULT
    10	         21	         22	         10		PAGE FAULT
    27	         22	         10	         27		PAGE FAULT
    3	         10	         27	          3		PAGE FAULT

LRU: 
	Page faults : 445
	       Hits : 55
	  Hit Ratio : 11.00%
-----------------------------------------


 결과 비교를 위하여 Optimal 알고리즘을 수행합니다..
-----------------------------------------
 (1). OPTIMAL 
-----------------------------------------
참조스트림  page_frame[0]   page_frame[1]   page_frame[2] 	페이지 폴트
    14	         14	         -1	         -1		PAGE FAULT
    17	         14	         17	         -1		PAGE FAULT
    28	         14	         17	         28		PAGE FAULT
    26	         26	         17	         28		PAGE FAULT
    24	         26	         17	         24		PAGE FAULT
    26	         26	         17	         24		          
    17	         26	         17	         24		          
    13	         13	         17	         24		PAGE FAULT
    10	         10	         17	         24		PAGE FAULT
    2	          2	         17	         24		PAGE FAULT
    3	          3	         17	         24		PAGE FAULT
    8	          8	         17	         24		PAGE FAULT
    21	         21	         17	         24		PAGE FAULT
    20	         20	         17	         24		PAGE FAULT
    24	         20	         17	         24		          
    17	         20	         17	         24		          
    1	          1	         17	         24		PAGE FAULT
    7	          1	         17	          7		PAGE FAULT
    23	          1	         17	         23		PAGE FAULT
    17	          1	         17	         23		          
    12	         12	         17	         23		PAGE FAULT
    9	          9	         17	         23		PAGE FAULT
    28	         28	         17	         23		PAGE FAULT
    10	         28	         17	         10		PAGE FAULT
    3	         28	         17	          3		PAGE FAULT
    21	         28	         21	          3		PAGE FAULT
    3	         28	         21	          3		          
    14	         28	         21	         14		PAGE FAULT
    8	         28	          8	         14		PAGE FAULT
    26	         28	         26	         14		PAGE FAULT
    30	         28	         30	         14		PAGE FAULT
    13	         28	         30	         13		PAGE FAULT
    13	         28	         30	         13		          
    19	         28	         30	         19		PAGE FAULT
    30	         28	         30	         19		          
    28	         28	         30	         19		          
    14	         28	         30	         14		PAGE FAULT
    17	         28	         30	         17		PAGE FAULT
    2	          2	         30	         17		PAGE FAULT
    23	         23	         30	         17		PAGE FAULT
    10	         10	         30	         17		PAGE FAULT
    4	          4	         30	         17		PAGE FAULT
    22	         22	         30	         17		PAGE FAULT
    30	         22	         30	         17		          
    15	         15	         30	         17		PAGE FAULT
    8	         15	          8	         17		PAGE FAULT
    9	         15	          9	         17		PAGE FAULT
    15	         15	          9	         17		          
    6	         15	          6	         17		PAGE FAULT
    1	         15	          1	         17		PAGE FAULT
    24	         15	         24	         17		PAGE FAULT
    17	         15	         24	         17		          
    2	         15	          2	         17		PAGE FAULT
    21	         21	          2	         17		PAGE FAULT
    27	         21	         27	         17		PAGE FAULT
    4	         21	          4	         17		PAGE FAULT
    3	         21	          3	         17		PAGE FAULT
    21	         21	          3	         17		          
    17	         21	          3	         17		          
    2	         21	          2	         17		PAGE FAULT
    16	         21	         16	         17		PAGE FAULT
    16	         21	         16	         17		          
    15	         15	         16	         17		PAGE FAULT
    28	         28	         16	         17		PAGE FAULT
    27	         27	         16	         17		PAGE FAULT
    6	          6	         16	         17		PAGE FAULT
    17	          6	         16	         17		          
    10	         10	         16	         17		PAGE FAULT
    14	         14	         16	         17		PAGE FAULT
    18	         18	         16	         17		PAGE FAULT
    25	         25	         16	         17		PAGE FAULT
    16	         25	         16	         17		          
    13	         25	         16	         13		PAGE FAULT
    16	         25	         16	         13		          
    15	         25	         15	         13		PAGE FAULT
    28	         25	         15	         28		PAGE FAULT
    15	         25	         15	         28		          
    15	         25	         15	         28		          
    4	         25	         15	          4		PAGE FAULT
    21	         25	         21	          4		PAGE FAULT
    8	         25	          8	          4		PAGE FAULT
    19	         25	         19	          4		PAGE FAULT
    7	         25	          7	          4		PAGE FAULT
    9	         25	          9	          4		PAGE FAULT
    9	         25	          9	          4		          
    25	         25	          9	          4		          
    4	         25	          9	          4		          
    12	         25	         12	          4		PAGE FAULT
    15	         25	         12	         15		PAGE FAULT
    20	         25	         20	         15		PAGE FAULT
    13	         25	         20	         13		PAGE FAULT
    1	         25	         20	          1		PAGE FAULT
    27	         25	         20	         27		PAGE FAULT
    19	         25	         20	         19		PAGE FAULT
    20	         25	         20	         19		          
    23	         25	         23	         19		PAGE FAULT
    17	         25	         23	         17		PAGE FAULT
    7	         25	         23	          7		PAGE FAULT
    25	         25	         23	          7		          
    30	         30	         23	          7		PAGE FAULT
    16	         30	         23	         16		PAGE FAULT
    11	         11	         23	         16		PAGE FAULT
    15	         15	         23	         16		PAGE FAULT
    29	         29	         23	         16		PAGE FAULT
    18	         18	         23	         16		PAGE FAULT
    22	         18	         23	         22		PAGE FAULT
    18	         18	         23	         22		          
    3	          3	         23	         22		PAGE FAULT
    28	         28	         23	         22		PAGE FAULT
    13	         13	         23	         22		PAGE FAULT
    23	         13	         23	         22		          
    27	         27	         23	         22		PAGE FAULT
    2	         27	          2	         22		PAGE FAULT
    21	         27	          2	         21		PAGE FAULT
    27	         27	          2	         21		          
    2	         27	          2	         21		          
    16	         27	          2	         16		PAGE FAULT
    30	         27	          2	         30		PAGE FAULT
    5	         27	          5	         30		PAGE FAULT
    30	         27	          5	         30		          
    11	         27	         11	         30		PAGE FAULT
    10	         10	         11	         30		PAGE FAULT
    22	         10	         22	         30		PAGE FAULT
    8	         10	         22	          8		PAGE FAULT
    28	         10	         22	         28		PAGE FAULT
    12	         10	         22	         12		PAGE FAULT
    22	         10	         22	         12		          
    6	         10	         22	          6		PAGE FAULT
    10	         10	         22	          6		          
    8	          8	         22	          6		PAGE FAULT
    28	         28	         22	          6		PAGE FAULT
    17	         17	         22	          6		PAGE FAULT
    18	         17	         18	          6		PAGE FAULT
    4	         17	          4	          6		PAGE FAULT
    7	         17	          7	          6		PAGE FAULT
    6	         17	          7	          6		          
